第一申请人类型,主体类型,主体类型判断依据,主体类型需复核,专利数
企业,企业,第一申请人名称规则,False,2912
学校,高校,第一申请人名称规则,False,2103
企业,企业,第一申请人完整名称规则,False,812
科研单位,科研院所,第一申请人名称规则,False,644
企业,科研院所,第一申请人名称规则,False,268
其他,科研院所,第一申请人名称规则,False,95
"企业,企业",企业,第一申请人名称规则,False,69
"科研单位,学校",科研院所,第一申请人名称规则,False,67
"企业,学校",高校,第一申请人名称规则,False,52
"企业,学校",企业,第一申请人名称规则,False,48
"科研单位,学校",高校,第一申请人名称规则,False,30
个人,个人,原字段单一类型兜底,False,29
机关团体,机关团体,第一申请人名称规则,False,28
"企业,企业",企业,第一申请人完整名称规则,False,26
"学校,科研单位",高校,第一申请人名称规则,False,22
"企业,科研单位",企业,第一申请人名称规则,False,18
机关团体,科研院所,第一申请人名称规则,False,17
"学校,企业",高校,第一申请人名称规则,False,13
"企业,科研单位",科研院所,第一申请人名称规则,False,13
"企业,企业,企业",企业,第一申请人完整名称规则,False,11
机关团体,高校,第一申请人名称规则,False,11
"企业,企业,企业",企业,第一申请人名称规则,False,9
机关团体,机关团体,原字段单一类型兜底,False,8
"科研单位,科研单位",科研院所,第一申请人名称规则,False,8
"学校,学校",高校,第一申请人名称规则,False,7
"企业,学校",科研院所,第一申请人名称规则,False,6
科研单位,科研院所,原字段单一类型兜底,False,6
科研单位,机关团体,第一申请人名称规则,False,5
"企业,学校",企业,第一申请人完整名称规则,False,4
"科研单位,机关团体",科研院所,第一申请人名称规则,False,4
"其他,学校",科研院所,第一申请人名称规则,False,3
学校,高校,原字段单一类型兜底,False,3
"学校,企业,企业",高校,第一申请人名称规则,False,3
"企业,企业,企业,企业",企业,第一申请人名称规则,False,2
"科研单位,科研单位",高校,第一申请人名称规则,False,2
学校,科研院所,第一申请人名称规则,False,2
"企业,科研单位",企业,第一申请人完整名称规则,False,2
科研单位,高校,第一申请人名称规则,False,2
"企业,科研单位,学校",企业,第一申请人名称规则,False,2
"学校,学校,科研单位",高校,第一申请人名称规则,False,2
学校,高校,第一申请人完整名称规则,False,2
其他,其他,原字段单一类型兜底,False,2
"个人,个人,个人",个人,原字段单一类型兜底,False,1
"个人,学校",高校,第一申请人名称规则,False,1
企业,企业,原字段单一类型兜底,False,1
"企业,企业,机关团体",企业,第一申请人名称规则,False,1
"企业,个人",企业,第一申请人名称规则,False,1
"企业,企业,企业,企业,企业",企业,第一申请人名称规则,False,1
"企业,其他",企业,第一申请人名称规则,False,1
"企业,企业,企业,企业,企业,企业",企业,第一申请人名称规则,False,1
"企业,机关团体",高校,第一申请人名称规则,False,1
"企业,企业,机关团体,机关团体,机关团体",企业,第一申请人完整名称规则,False,1
"其他,机关团体",科研院所,第一申请人名称规则,False,1
"其他,学校",高校,第一申请人名称规则,False,1
"企业,科研单位,学校",科研院所,第一申请人名称规则,False,1
其他,企业,第一申请人名称规则,False,1
"企业,机关团体",企业,第一申请人名称规则,False,1
"企业,学校,企业",企业,第一申请人名称规则,False,1
"学校,学校,学校",高校,第一申请人名称规则,False,1
机关团体,企业,第一申请人名称规则,False,1
"机关团体,学校",机关团体,第一申请人名称规则,False,1
"科研单位,学校",科研院所,第一申请人完整名称规则,False,1
"机关团体,学校",高校,第一申请人名称规则,False,1
"科研单位,企业,企业",科研院所,第一申请人名称规则,False,1
"科研单位,学校,科研单位",科研院所,第一申请人名称规则,False,1
"科研单位,学校,企业",科研院所,第一申请人名称规则,False,1
"科研单位,学校",高校,第一申请人完整名称规则,False,1
"科研单位,科研单位",科研院所,原字段单一类型兜底,False,1
